Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.31,0.01,0.397134787
75% Corpus,4,0.61,symmetric,0.396822657
75% Corpus,4,0.91,0.31,0.396822657
75% Corpus,6,symmetric,0.31,0.396427542
100% Corpus,5,asymmetric,0.91,0.396294407
100% Corpus,6,asymmetric,0.31,0.396212608
100% Corpus,5,symmetric,0.31,0.396147702
75% Corpus,4,asymmetric,0.01,0.396084389
75% Corpus,4,0.91,symmetric,0.395741359
100% Corpus,7,asymmetric,symmetric,0.395522898
100% Corpus,7,symmetric,symmetric,0.395391867
75% Corpus,10,0.91,symmetric,0.395305297
75% Corpus,5,0.31,0.31,0.395290443
75% Corpus,10,symmetric,0.91,0.395191325
75% Corpus,6,0.31,symmetric,0.394813641
100% Corpus,7,0.01,symmetric,0.394374712
100% Corpus,7,0.91,0.01,0.394229908
100% Corpus,7,0.31,0.31,0.394168361
75% Corpus,9,0.01,0.61,0.394127834
100% Corpus,5,0.31,symmetric,0.394023245
75% Corpus,6,asymmetric,0.01,0.394009135
75% Corpus,4,asymmetric,0.61,0.394004034
75% Corpus,4,0.01,0.61,0.39394844
75% Corpus,4,0.31,0.61,0.39394844
75% Corpus,4,0.61,0.61,0.39394844
75% Corpus,4,symmetric,0.61,0.39394844
75% Corpus,4,0.61,0.91,0.393677745
75% Corpus,4,0.91,0.91,0.393677745
75% Corpus,8,0.61,0.61,0.393612949
100% Corpus,7,0.31,0.61,0.393551021
100% Corpus,10,0.61,0.31,0.393458649
100% Corpus,10,symmetric,symmetric,0.39325712
75% Corpus,5,0.61,0.01,0.393208507
100% Corpus,6,0.91,0.01,0.392499239
100% Corpus,7,0.61,0.01,0.392417329
100% Corpus,5,0.01,0.61,0.392279499
75% Corpus,10,0.61,symmetric,0.391916172
75% Corpus,5,0.91,0.01,0.391663099
75% Corpus,9,0.01,0.91,0.390992974
100% Corpus,6,0.61,0.01,0.390975531
100% Corpus,5,0.61,0.01,0.390709881
75% Corpus,6,asymmetric,symmetric,0.390580334
100% Corpus,6,symmetric,0.01,0.390250742
75% Corpus,9,0.31,0.61,0.390238022
100% Corpus,5,symmetric,0.61,0.389962317
75% Corpus,5,0.31,0.61,0.389943796
75% Corpus,8,asymmetric,symmetric,0.388662855
100% Corpus,5,0.31,0.61,0.388535663
100% Corpus,7,0.01,0.31,0.38840332
100% Corpus,7,0.91,0.31,0.387867948
100% Corpus,6,0.31,0.01,0.387390166
75% Corpus,4,0.31,0.91,0.38721717
75% Corpus,4,symmetric,0.91,0.38721717
100% Corpus,7,0.61,symmetric,0.387189842
100% Corpus,7,0.31,symmetric,0.386188728
100% Corpus,6,0.01,0.01,0.386180052
75% Corpus,7,asymmetric,0.91,0.386124185
100% Corpus,5,0.31,0.91,0.386094437
100% Corpus,5,symmetric,0.91,0.386094437
75% Corpus,8,symmetric,0.31,0.385922407
75% Corpus,7,0.31,0.31,0.385723216
100% Corpus,10,asymmetric,0.01,0.385638077
100% Corpus,5,0.91,0.61,0.385085577
100% Corpus,10,0.91,0.31,0.384911547
75% Corpus,9,symmetric,0.61,0.384801453
100% Corpus,5,0.61,0.91,0.384746284
75% Corpus,4,asymmetric,0.31,0.384726807
75% Corpus,4,asymmetric,symmetric,0.384726807
100% Corpus,9,0.01,0.31,0.384632069
100% Corpus,5,0.31,0.31,0.384572077
75% Corpus,10,0.91,0.01,0.384345805
100% Corpus,6,symmetric,symmetric,0.384312802
75% Corpus,5,0.91,symmetric,0.384122157
75% Corpus,6,0.61,symmetric,0.384061381
100% Corpus,9,asymmetric,0.01,0.38403127
100% Corpus,10,0.61,0.01,0.383954621
100% Corpus,6,asymmetric,0.91,0.383654266
75% Corpus,7,0.31,symmetric,0.38358819
75% Corpus,6,0.31,0.01,0.383393519
75% Corpus,6,0.61,0.31,0.383275353
100% Corpus,7,0.61,0.31,0.383151028
100% Corpus,10,0.31,symmetric,0.383145857
100% Corpus,7,symmetric,0.61,0.383031379
100% Corpus,5,0.91,0.91,0.382956001
100% Corpus,8,0.31,0.01,0.382524422
100% Corpus,5,0.61,0.61,0.38235352
75% Corpus,7,0.61,symmetric,0.382317157
100% Corpus,8,0.91,0.61,0.382269722
75% Corpus,8,0.31,symmetric,0.382204341
100% Corpus,5,0.91,symmetric,0.382134861
100% Corpus,9,symmetric,0.31,0.382085838
100% Corpus,7,asymmetric,0.31,0.382058851
100% Corpus,7,symmetric,0.31,0.381558627
100% Corpus,7,0.91,symmetric,0.381340029
100% Corpus,3,asymmetric,0.91,0.381338406
75% Corpus,6,symmetric,symmetric,0.38132086
75% Corpus,6,symmetric,0.01,0.380849556
75% Corpus,7,symmetric,symmetric,0.380621145
100% Corpus,6,0.31,symmetric,0.380611765
75% Corpus,5,0.91,0.31,0.380607946
75% Corpus,8,symmetric,symmetric,0.380574067
100% Corpus,5,0.61,symmetric,0.380489301
100% Corpus,5,0.91,0.31,0.380489301
100% Corpus,9,asymmetric,symmetric,0.380469278
75% Corpus,10,asymmetric,0.61,0.380379783
75% Corpus,5,0.61,symmetric,0.380346128
75% Corpus,6,0.61,0.01,0.380079029
100% Corpus,5,0.61,0.31,0.379987554
75% Corpus,10,0.31,0.91,0.379915332
75% Corpus,10,0.31,0.31,0.379586889
100% Corpus,6,0.31,0.31,0.379585084
100% Corpus,10,0.61,symmetric,0.379432604
100% Corpus,9,0.01,0.91,0.379304683
100% Corpus,10,0.31,0.31,0.379302091
100% Corpus,7,asymmetric,0.61,0.379251138
100% Corpus,6,0.01,symmetric,0.379168046
75% Corpus,10,0.31,symmetric,0.379165616
75% Corpus,5,0.91,0.91,0.378747103
100% Corpus,7,0.61,0.61,0.378628566
100% Corpus,9,0.31,0.01,0.37846609
100% Corpus,5,0.91,0.01,0.378448487
100% Corpus,6,0.91,0.31,0.378222237
75% Corpus,7,asymmetric,0.31,0.37797015
75% Corpus,8,0.91,0.31,0.377762049
75% Corpus,9,asymmetric,symmetric,0.377494513
75% Corpus,7,0.01,0.31,0.377165379
100% Corpus,8,0.91,0.91,0.37701913
75% Corpus,7,0.31,0.01,0.3768325
100% Corpus,6,symmetric,0.31,0.376823027
100% Corpus,8,symmetric,0.01,0.376377502
